"","指標","議員のみ","首長のみ","両方"
"議員3年_東北","教育費シェア%pt (評価点 0.1043)","0.1600 (0.1892)","","0.2095 (0.1952)"
"議員1年_関東","教育費シェア%pt (評価点 0.1043)","0.0385 (0.1460)","","0.0329 (0.1470)"
"議員2年_関東","教育費シェア%pt (評価点 0.1043)","0.0817 (0.1537)","","0.0848 (0.1548)"
"議員3年_関東","教育費シェア%pt (評価点 0.1043)","0.1440 (0.1604)","","0.1807 (0.1586)"
"議員1年_中部","教育費シェア%pt (評価点 0.1043)","-0.0366 (0.1584)","","0.0212 (0.1695)"
"議員2年_中部","教育費シェア%pt (評価点 0.1043)","-0.2345* (0.1286)","","-0.2056 (0.1434)"
"議員3年_中部","教育費シェア%pt (評価点 0.1043)","-0.0118 (0.1516)","","0.0269 (0.1600)"
"議員1年_近畿","教育費シェア%pt (評価点 0.1043)","0.0832 (0.1550)","","0.0793 (0.1601)"
"議員2年_近畿","教育費シェア%pt (評価点 0.1043)","0.0371 (0.1690)","","0.0669 (0.1729)"
"議員3年_近畿","教育費シェア%pt (評価点 0.1043)","-0.0662 (0.1674)","","-0.1182 (0.1843)"
"議員1年_中国","教育費シェア%pt (評価点 0.1043)","0.3346 (0.2269)","","0.4701* (0.2365)"
"議員2年_中国","教育費シェア%pt (評価点 0.1043)","0.1040 (0.2109)","","0.2370 (0.2280)"
"議員3年_中国","教育費シェア%pt (評価点 0.1043)","0.4535** (0.2015)","","0.5609** (0.2142)"
"議員1年_四国","教育費シェア%pt (評価点 0.1043)","0.2247 (0.3221)","","0.3286 (0.3589)"
"議員2年_四国","教育費シェア%pt (評価点 0.1043)","0.3633 (0.3190)","","0.4466 (0.3268)"
"議員3年_四国","教育費シェア%pt (評価点 0.1043)","-0.1633 (0.2762)","","-0.0265 (0.2902)"
"議員1年_九州","教育費シェア%pt (評価点 0.1043)","0.0181 (0.1722)","","-0.0057 (0.1772)"
"議員2年_九州","教育費シェア%pt (評価点 0.1043)","-0.0404 (0.1743)","","0.0050 (0.1849)"
"議員3年_九州","教育費シェア%pt (評価点 0.1043)","0.1035 (0.1671)","","0.0524 (0.1705)"
"議会高齢化ギャップ","教育費シェア%pt (評価点 0.1043)","0.1891 (0.4952)","0.1450 (0.4743)","0.2166 (0.4962)"
"議会女性ギャップ","教育費シェア%pt (評価点 0.1043)","0.8528 (0.9588)","0.7508 (0.9480)","0.8249 (0.9616)"
"議員新人割合","教育費シェア%pt (評価点 0.1043)","-0.2460 (0.4028)","-0.2432 (0.4015)","-0.2199 (0.4041)"
"首長X65歳以上割合","教育費シェア%pt (評価点 0.1043)","0.2192** (0.1085)","0.2211** (0.1089)","0.2210** (0.1090)"
"首長新人割合","教育費シェア%pt (評価点 0.1043)","0.0178 (0.0850)","0.0220 (0.0852)","0.0214 (0.0853)"
"首長女性割合","教育費シェア%pt (評価点 0.1043)","-0.0532 (0.2329)","-0.0841 (0.2373)","-0.0722 (0.2386)"
"地域女性割合","教育費シェア%pt (評価点 0.1043)","59.8781 (21.8408)","58.1879 (21.8178)","58.4350 (21.8565)"
"経常収支比率.市町村財政.","教育費シェア%pt (評価点 0.1043)","-0.0081 (0.0124)","-0.0084 (0.0124)","-0.0082 (0.0124)"
"児童生徒割合","教育費シェア%pt (評価点 0.1043)","65.1626* (16.8232)","64.5043* (16.8480)","65.0355* (16.8728)"
"首長1年_北海道","教育費シェア%pt (評価点 0.1043)","","0.0358 (0.1944)","0.1002 (0.1941)"
"首長2年_北海道","教育費シェア%pt (評価点 0.1043)","","0.1810 (0.2219)","0.2210 (0.2184)"
"首長3年_北海道","教育費シェア%pt (評価点 0.1043)","","0.3677 (0.2283)","0.3636 (0.2293)"
"首長1年_東北","教育費シェア%pt (評価点 0.1043)","","0.0840 (0.1816)","0.0621 (0.1821)"
"首長2年_東北","教育費シェア%pt (評価点 0.1043)","","0.0400 (0.2065)","0.0230 (0.2051)"
"首長3年_東北","教育費シェア%pt (評価点 0.1043)","","-0.1365 (0.1763)","-0.1508 (0.1806)"
"首長1年_関東","教育費シェア%pt (評価点 0.1043)","","-0.0127 (0.1057)","-0.0092 (0.1092)"
"首長2年_関東","教育費シェア%pt (評価点 0.1043)","","0.0864 (0.1212)","0.0854 (0.1237)"
"首長3年_関東","教育費シェア%pt (評価点 0.1043)","","-0.1539 (0.1159)","-0.1694 (0.1160)"
"首長1年_中部","教育費シェア%pt (評価点 0.1043)","","-0.1794 (0.1253)","-0.1905 (0.1341)"
"首長2年_中部","教育費シェア%pt (評価点 0.1043)","","-0.1482 (0.1345)","-0.0979 (0.1478)"
"首長3年_中部","教育費シェア%pt (評価点 0.1043)","","-0.1746 (0.1314)","-0.1567 (0.1402)"
"首長1年_近畿","教育費シェア%pt (評価点 0.1043)","","0.0504 (0.1575)","0.0218 (0.1627)"
"首長2年_近畿","教育費シェア%pt (評価点 0.1043)","","-0.1532 (0.1903)","-0.1915 (0.1871)"
"首長3年_近畿","教育費シェア%pt (評価点 0.1043)","","0.1569 (0.2022)","0.1648 (0.2149)"
"首長1年_中国","教育費シェア%pt (評価点 0.1043)","","-0.1808 (0.2278)","-0.2527 (0.2293)"
"首長2年_中国","教育費シェア%pt (評価点 0.1043)","","-0.3552 (0.2423)","-0.4126 (0.2608)"
"首長3年_中国","教育費シェア%pt (評価点 0.1043)","","-0.3578* (0.2124)","-0.4951** (0.2190)"
"首長1年_四国","教育費シェア%pt (評価点 0.1043)","","-0.1151 (0.3197)","-0.1617 (0.3555)"
"首長2年_四国","教育費シェア%pt (評価点 0.1043)","","-0.0428 (0.3455)","-0.1878 (0.3602)"
"首長3年_四国","教育費シェア%pt (評価点 0.1043)","","-0.3943 (0.2496)","-0.4122 (0.2653)"
"首長1年_九州","教育費シェア%pt (評価点 0.1043)","","0.0970 (0.1528)","0.1015 (0.1602)"
"首長2年_九州","教育費シェア%pt (評価点 0.1043)","","-0.1982 (0.1585)","-0.1924 (0.1648)"
"首長3年_九州","教育費シェア%pt (評価点 0.1043)","","0.1346 (0.1532)","0.1251 (0.1580)"
"議員1年_北海道","補正前p値","0.1792","","0.1352"
"議員2年_北海道","補正前p値","0.6883","","0.5377"
"議員3年_北海道","補正前p値","0.5228","","0.7637"
"議員1年_東北","補正前p値","0.1199","","0.1459"
"議員2年_東北","補正前p値","0.5282","","0.4612"
"議員3年_東北","補正前p値","0.4011","","0.2874"
"議員1年_関東","補正前p値","0.7924","","0.8232"
"議員2年_関東","補正前p値","0.5962","","0.5852"
"議員3年_関東","補正前p値","0.3721","","0.2582"
"議員1年_中部","補正前p値","0.8173","","0.9006"
"議員2年_中部","補正前p値","0.0655*","","0.1482"
"議員3年_中部","補正前p値","0.9382","","0.8665"
"議員1年_近畿","補正前p値","0.5925","","0.6217"
"議員2年_近畿","補正前p値","0.8267","","0.6995"
"議員3年_近畿","補正前p値","0.6915","","0.5190"
"議員1年_中国","補正前p値","0.1459","","0.0513*"
"議員2年_中国","補正前p値","0.6236","","0.3035"
"議員3年_中国","補正前p値","0.0273**","","0.0105**"
"議員1年_四国","補正前p値","0.4896","","0.3665"
"議員2年_四国","補正前p値","0.2621","","0.1799"
"議員3年_四国","補正前p値","0.5516","","0.9272"
"議員1年_九州","補正前p値","0.9164","","0.9743"
"議員2年_九州","補正前p値","0.8163","","0.9786"
"議員3年_九州","補正前p値","0.5376","","0.7592"
"議会高齢化ギャップ","補正前p値","","",""
"議会女性ギャップ","補正前p値","","",""
"議員新人割合","補正前p値","","",""
"首長X65歳以上割合","補正前p値","","",""
"首長新人割合","補正前p値","","",""
"首長女性割合","補正前p値","","",""
"地域女性割合","補正前p値","","",""
"経常収支比率.市町村財政.","補正前p値","","",""
"児童生徒割合","補正前p値","","",""
"首長1年_北海道","補正前p値","","0.8541","0.6070"
"首長2年_北海道","補正前p値","","0.4181","0.3160"
"首長3年_北海道","補正前p値","","0.1127","0.1183"
"首長1年_東北","補正前p値","","0.6448","0.7336"
"首長2年_東北","補正前p値","","0.8467","0.9108"
"首長3年_東北","補正前p値","","0.4363","0.4008"
"首長1年_関東","補正前p値","","0.9040","0.9327"
"首長2年_関東","補正前p値","","0.4774","0.4917"
"首長3年_関東","補正前p値","","0.1813","0.1413"
"首長1年_中部","補正前p値","","0.1490","0.1522"
"首長2年_中部","補正前p値","","0.2673","0.5062"
"首長3年_中部","補正前p値","","0.1806","0.2607"
"首長1年_近畿","補正前p値","","0.7497","0.8937"
"首長2年_近畿","補正前p値","","0.4178","0.3020"
"首長3年_近畿","補正前p値","","0.4408","0.4461"
"首長1年_中国","補正前p値","","0.4239","0.2653"
"首長2年_中国","補正前p値","","0.1367","0.1073"
"首長3年_中国","補正前p値","","0.0872*","0.0209**"
"首長1年_四国","補正前p値","","0.7176","0.6471"
"首長2年_四国","補正前p値","","0.9013","0.5992"
"首長3年_四国","補正前p値","","0.1081","0.1137"
"首長1年_九州","補正前p値","","0.5274","0.5282"
"首長2年_九州","補正前p値","","0.2075","0.2390"
"首長3年_九州","補正前p値","","0.3823","0.4309"
"議員1年_北海道","Holm補正p値","1.0000","","1.0000"
"議員2年_北海道","Holm補正p値","1.0000","","1.0000"
"議員3年_北海道","Holm補正p値","1.0000","","1.0000"
"議員1年_東北","Holm補正p値","1.0000","","1.0000"
"議員2年_東北","Holm補正p値","1.0000","","1.0000"
"議員3年_東北","Holm補正p値","1.0000","","1.0000"
"議員1年_関東","Holm補正p値","1.0000","","1.0000"
"議員2年_関東","Holm補正p値","1.0000","","1.0000"
"議員3年_関東","Holm補正p値","1.0000","","1.0000"
"議員1年_中部","Holm補正p値","1.0000","","1.0000"
"議員2年_中部","Holm補正p値","1.0000","","1.0000"
"議員3年_中部","Holm補正p値","1.0000","","1.0000"
"議員1年_近畿","Holm補正p値","1.0000","","1.0000"
"議員2年_近畿","Holm補正p値","1.0000","","1.0000"
"議員3年_近畿","Holm補正p値","1.0000","","1.0000"
"議員1年_中国","Holm補正p値","1.0000","","1.0000"
"議員2年_中国","Holm補正p値","1.0000","","1.0000"
"議員3年_中国","Holm補正p値","0.6542","","0.5057"
"議員1年_四国","Holm補正p値","1.0000","","1.0000"
"議員2年_四国","Holm補正p値","1.0000","","1.0000"
"議員3年_四国","Holm補正p値","1.0000","","1.0000"
"議員1年_九州","Holm補正p値","1.0000","","1.0000"
"議員2年_九州","Holm補正p値","1.0000","","1.0000"
"議員3年_九州","Holm補正p値","1.0000","","1.0000"
"議会高齢化ギャップ","Holm補正p値","","",""
"議会女性ギャップ","Holm補正p値","","",""
"議員新人割合","Holm補正p値","","",""
"首長X65歳以上割合","Holm補正p値","","",""
"首長新人割合","Holm補正p値","","",""
"首長女性割合","Holm補正p値","","",""
"地域女性割合","Holm補正p値","","",""
"経常収支比率.市町村財政.","Holm補正p値","","",""
"児童生徒割合","Holm補正p値","","",""
"首長1年_北海道","Holm補正p値","","1.0000","1.0000"
"首長2年_北海道","Holm補正p値","","1.0000","1.0000"
"首長3年_北海道","Holm補正p値","","1.0000","1.0000"
"首長1年_東北","Holm補正p値","","1.0000","1.0000"
"首長2年_東北","Holm補正p値","","1.0000","1.0000"
"首長3年_東北","Holm補正p値","","1.0000","1.0000"
"首長1年_関東","Holm補正p値","","1.0000","1.0000"
"首長2年_関東","Holm補正p値","","1.0000","1.0000"
"首長3年_関東","Holm補正p値","","1.0000","1.0000"
"首長1年_中部","Holm補正p値","","1.0000","1.0000"
"首長2年_中部","Holm補正p値","","1.0000","1.0000"
"首長3年_中部","Holm補正p値","","1.0000","1.0000"
"首長1年_近畿","Holm補正p値","","1.0000","1.0000"
"首長2年_近畿","Holm補正p値","","1.0000","1.0000"
"首長3年_近畿","Holm補正p値","","1.0000","1.0000"
"首長1年_中国","Holm補正p値","","1.0000","1.0000"
"首長2年_中国","Holm補正p値","","1.0000","1.0000"
"首長3年_中国","Holm補正p値","","1.0000","0.9844"
"首長1年_四国","Holm補正p値","","1.0000","1.0000"
"首長2年_四国","Holm補正p値","","1.0000","1.0000"
"首長3年_四国","Holm補正p値","","1.0000","1.0000"
"首長1年_九州","Holm補正p値","","1.0000","1.0000"
"首長2年_九州","Holm補正p値","","1.0000","1.0000"
"首長3年_九州","Holm補正p値","","1.0000","1.0000"
"固定効果","モデル情報","自治体","自治体","自治体"
"地域年度ダミー","モデル情報","あり","あり","あり"
"標準誤差","モデル情報","自治体クラスター","自治体クラスター","自治体クラスター"
"観測数","モデル情報","10242","10242","10242"
"自治体数","モデル情報","1707","1707","1707"
"年度数","モデル情報","6","6","6"
"決定係数","モデル情報","0.0745","0.0750","0.0770"
"調整済み決定係数","モデル情報","-0.1201","-0.1195","-0.1202"
"F統計量","モデル情報","11.90","12.00","9.46"
"F検定のp値","モデル情報","<2e-16","<2e-16","<2e-16"
