"","指標","議員のみ","首長のみ","両方"
"議員選挙年_東北","補正前p値","0.4495","","0.4582"
"議員選挙年_関東","補正前p値","0.0222**","","0.0157**"
"議員選挙年_中部","補正前p値","0.0482**","","0.1086"
"議員選挙年_近畿","補正前p値","0.9996","","0.9990"
"議員選挙年_中国","補正前p値","0.0443**","","0.0085***"
"議員選挙年_四国","補正前p値","0.6451","","0.5161"
"議員選挙年_九州","補正前p値","0.8306","","0.8612"
"議会高齢化ギャップ","補正前p値","","",""
"議会女性ギャップ","補正前p値","","",""
"議員新人割合","補正前p値","","",""
"首長X65歳以上割合","補正前p値","","",""
"首長新人割合","補正前p値","","",""
"首長女性割合","補正前p値","","",""
"地域女性割合","補正前p値","","",""
"経常収支比率.市町村財政.","補正前p値","","",""
"児童生徒割合","補正前p値","","",""
"首長選挙年_北海道","補正前p値","","0.0787*","0.3789"
"首長選挙年_東北","補正前p値","","0.9866","0.9231"
"首長選挙年_関東","補正前p値","","0.6258","0.4308"
"首長選挙年_中部","補正前p値","","0.1806","0.3895"
"首長選挙年_近畿","補正前p値","","0.9397","0.9323"
"首長選挙年_中国","補正前p値","","0.0785*","0.0200**"
"首長選挙年_四国","補正前p値","","0.4666","0.3769"
"首長選挙年_九州","補正前p値","","0.7743","0.8287"
"議員選挙年_北海道","Holm補正p値","0.0002***","","0.0013***"
"議員選挙年_東北","Holm補正p値","1.0000","","1.0000"
"議員選挙年_関東","Holm補正p値","0.1555","","0.2197"
"議員選挙年_中部","Holm補正p値","0.2656","","1.0000"
"議員選挙年_近畿","Holm補正p値","1.0000","","1.0000"
"議員選挙年_中国","Holm補正p値","0.2656","","0.1268"
"議員選挙年_四国","Holm補正p値","1.0000","","1.0000"
"議員選挙年_九州","Holm補正p値","1.0000","","1.0000"
"議会高齢化ギャップ","Holm補正p値","","",""
"議会女性ギャップ","Holm補正p値","","",""
"議員新人割合","Holm補正p値","","",""
"首長X65歳以上割合","Holm補正p値","","",""
"首長新人割合","Holm補正p値","","",""
"首長女性割合","Holm補正p値","","",""
"地域女性割合","Holm補正p値","","",""
"経常収支比率.市町村財政.","Holm補正p値","","",""
"児童生徒割合","Holm補正p値","","",""
"首長選挙年_北海道","Holm補正p値","","0.6282","1.0000"
"首長選挙年_東北","Holm補正p値","","1.0000","1.0000"
"首長選挙年_関東","Holm補正p値","","1.0000","1.0000"
"首長選挙年_中部","Holm補正p値","","1.0000","1.0000"
"首長選挙年_近畿","Holm補正p値","","1.0000","1.0000"
"首長選挙年_中国","Holm補正p値","","0.6282","0.2601"
"首長選挙年_四国","Holm補正p値","","1.0000","1.0000"
"首長選挙年_九州","Holm補正p値","","1.0000","1.0000"
"固定効果","モデル情報","自治体・年度","自治体・年度","自治体・年度"
"地域年度ダミー","モデル情報","なし","なし","なし"
"標準誤差","モデル情報","自治体クラスター","自治体クラスター","自治体クラスター"
"観測数","モデル情報","10242","10242","10242"
"自治体数","モデル情報","1707","1707","1707"
"年度数","モデル情報","6","6","6"
"決定係数","モデル情報","0.0069","0.0046","0.0077"
"調整済み決定係数","モデル情報","-0.1947","-0.1974","-0.1948"
"F統計量","モデル情報","2.54","1.32","2.07"
"F検定のp値","モデル情報","0.000515","0.169","0.00147"
