"","指標","議員のみ","首長のみ","両方","両方(ブートストラップp値)"
"経常収支比率.市町村財政.","p値","0.0048***","0.0046***","0.0047***","0.0050***"
"ln児童生徒数","p値","0.0000***","0.0000***","0.0000***","0.0050***"
"政令市_post2017","p値","0.0000***","0.0000***","0.0000***","0.0050***"
"factor(首長経過年度)1","p値","","0.8912","0.7605","0.7300"
"factor(首長経過年度)2","p値","","0.8259","0.9596","0.9700"
"factor(首長経過年度)3","p値","","0.4204","0.6445","0.6500"
"首長1年_特別区","p値","","0.7843","0.1404","0.2050"
"首長2年_特別区","p値","","0.1466","0.3627","0.4250"
"首長3年_特別区","p値","","0.6897","0.0238**","0.0500**"
"固定効果","モデル情報","自治体・年度","自治体・年度","自治体・年度",""
"標準誤差","モデル情報","自治体クラスター","自治体クラスター","自治体クラスター",""
"観測数","モデル情報","10242","10242","10242",""
"自治体数","モデル情報","1707","1707","1707",""
"年度数","モデル情報","6","6","6",""
"決定係数","モデル情報","0.0287","0.0281","0.0291",""
"調整済み決定係数","モデル情報","-0.1683","-0.1690","-0.1687",""
"F統計量","モデル情報","39.14","38.87","28.66",""
"F検定のp値","モデル情報","<2e-16","<2e-16","<2e-16",""
